"annee","departement","naf","taille","nombre",
2018,"03","25.93Z","11",1,"25"
2018,"03","26.30Z","11",1,"26"
2018,"03","26.51B","11",3,"26"
2018,"03","27.12Z","11",1,"27"
2018,"03","27.40Z","11",2,"27"
2018,"03","28.22Z","11",1,"28"
2018,"03","28.25Z","11",1,"28"
2018,"03","28.30Z","11",1,"28"
2018,"03","28.49Z","11",1,"28"
2018,"03","28.94Z","11",1,"28"
2018,"03","28.99B","11",1,"28"
2018,"03","29.20Z","11",1,"29"
2018,"03","31.01Z","11",2,"31"
2018,"03","31.09B","11",1,"31"
2018,"03","32.50A","11",3,"32"
2018,"03","32.99Z","11",1,"32"
2018,"03","33.12Z","11",2,"33"
2018,"03","33.13Z","11",1,"33"
2018,"03","33.14Z","11",1,"33"
2018,"03","33.19Z","11",1,"33"
2018,"03","33.20A","11",2,"33"
2018,"03","33.20B","11",2,"33"
2018,"03","35.12Z","11",1,"35"
2018,"03","35.13Z","11",3,"35"
2018,"03","35.22Z","11",2,"35"
2018,"03","36.00Z","11",2,"36"
2018,"03","37.00Z","11",1,"37"
2018,"03","38.11Z","11",1,"38"
2018,"03","38.12Z","11",1,"38"
2018,"03","38.21Z","11",1,"38"
2018,"03","38.32Z","11",4,"38"
2018,"03","41.20A","11",3,"41"
2018,"03","41.20B","11",1,"41"
2018,"03","43.12A","11",4,"43"
2018,"03","43.12B","11",1,"43"
2018,"03","43.21A","11",7,"43"
2018,"03","43.22A","11",4,"43"
2018,"03","43.22B","11",10,"43"
2018,"03","43.29A","11",2,"43"
2018,"03","43.29B","11",1,"43"
2018,"03","43.31Z","11",7,"43"
2018,"03","43.32A","11",11,"43"
2018,"03","43.32B","11",3,"43"
2018,"03","43.32C","11",1,"43"
2018,"03","43.33Z","11",5,"43"
2018,"03","43.34Z","11",5,"43"
2018,"03","43.39Z","11",1,"43"
2018,"03","43.91A","11",2,"43"
2018,"03","43.91B","11",6,"43"
2018,"03","43.99B","11",1,"43"
2018,"03","43.99C","11",12,"43"
2018,"03","43.99D","11",3,"43"
2018,"03","45.11Z","11",9,"45"
2018,"03","45.19Z","11",2,"45"
2018,"03","45.20A","11",10,"45"
2018,"03","45.20B","11",3,"45"
2018,"03","45.31Z","11",3,"45"
2018,"03","45.32Z","11",5,"45"
2018,"03","45.40Z","11",1,"45"
2018,"03","46.17A","11",1,"46"
2018,"03","46.18Z","11",1,"46"
2018,"03","46.19B","11",1,"46"
2018,"03","46.21Z","11",5,"46"
